Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
184,Appalachian State,Sun Belt,,17,14,67.8,63.5,4.26,,-3.72,,-9.3,6.83,-2.47,99.09,101.77,-2.69
185,Massachusetts,A-10,,12,20,72.9,75,-2.06,,0.75,,1.27,-3.75,-2.48,101.95,105.53,-3.58
186,Radford,Big South,,20,13,74,70.1,3.85,,-3.2,,-4.1,1.61,-2.49,108.15,111.16,-3
187,Ohio,MAC,,16,16,79.8,76.5,3.28,,-4.27,,3.01,-5.54,-2.53,105.27,109.06,-3.79
188,Pepperdine,WCC,,13,22,73.1,76.6,-3.46,,2.81,,1.12,-3.7,-2.57,105.32,109.48,-4.16
189,Princeton,Ivy,,19,11,73.6,72.1,1.57,,-2.23,,-2.96,0.37,-2.59,104.11,107.93,-3.81
190,Sam Houston,CUSA,,13,19,75.3,76,-0.69,,1.58,,2.48,-5.06,-2.59,108.69,112.08,-3.39
191,Oakland,Horizon,,16,18,70.6,71.6,-1,,-0.97,,-3.55,0.85,-2.69,105.26,108.98,-3.72
192,Valparaiso,MVC,,15,19,74.7,73.9,0.76,,-0.08,,0.22,-3.08,-2.86,105.87,109.56,-3.69
193,La Salle,A-10,,14,19,72,74.7,-2.7,,1.6,,-1.21,-1.84,-3.05,103.24,107.27,-4.03
194,Hawaii,Big West,,15,16,70.1,71.2,-1.13,,-0.58,,-4,0.87,-3.13,102.69,107.67,-4.98
195,Indiana State,MVC,,14,18,80.1,79.5,0.56,,-0.63,,6.93,-10.06,-3.13,108.27,111.83,-3.56
196,Jacksonville,A-Sun,,19,13,72.1,71,1.09,,-3.27,,-4.71,1.47,-3.24,100.44,104.62,-4.18
197,Drexel,CAA,,18,15,70.4,66.9,3.48,,-5.33,,-6.56,3.2,-3.36,102.41,106.84,-4.42
198,Eastern Kentucky,A-Sun,,18,14,77.8,75.3,2.59,,-3.96,,1.87,-5.22,-3.36,107.74,112.43,-4.7
199,Texas State,Sun Belt,,16,16,76.2,73.3,2.91,,-3.68,,0.72,-4.23,-3.52,107.41,112.17,-4.76
200,Idaho State,Big Sky,,15,15,74.3,70,4.37,,-3.69,,-2.74,-0.88,-3.62,105,110.28,-5.28
201,Norfolk State,MEAC,,24,10,77.3,69,8.29,,-7.5,,-1.79,-1.84,-3.63,104.92,110.11,-5.18
202,Elon,CAA,,17,15,73.6,69.8,3.84,,-4.48,,-3.36,-0.32,-3.68,105.83,110.86,-5.03
203,Fordham,A-10,,12,21,74.3,78,-3.67,,1.17,,2.09,-5.95,-3.86,105.23,110.85,-5.62
204,Missouri State,MVC,,9,23,68,70.9,-2.91,,0.58,,-5.73,1.85,-3.88,100.91,106.39,-5.47
205,Youngstown State,Horizon,,21,13,76.4,71.9,4.5,,-5.01,,-2.28,-1.6,-3.88,100.42,106.02,-5.6
206,Portland State,Big Sky,,19,13,75.6,69.6,5.97,,-4.92,,-3.7,-0.36,-4.06,99.47,105.29,-5.83
207,Southeastern Louisiana,Southland,,18,14,72.6,69.8,2.88,,-4.73,,-3.05,-1.01,-4.06,102.93,108.6,-5.67
208,Central Connecticut State,NEC,,25,7,72.3,62.9,9.38,,-10.9,,-7.98,3.82,-4.16,98.32,104,-5.68
209,Northeastern,CAA,,17,15,70.1,69.7,0.44,,-4.78,,-3.38,-0.96,-4.34,101.33,107.66,-6.33
210,Central Michigan,MAC,,14,17,75.5,72.2,3.35,,-2.65,,-2.55,-1.8,-4.35,103.07,108.94,-5.87
211,South Carolina State,MEAC,,20,13,79.5,70.4,9.09,,-8.8,,-2.15,-2.21,-4.36,100.05,106.54,-6.49
212,Merrimack,MAAC,,18,15,65.6,64.2,1.39,,-5.77,,-9.25,4.88,-4.37,97.33,103.4,-6.08
213,Longwood,Big South,,18,14,78.3,74.1,4.16,,-4.85,,-0.35,-4.08,-4.43,104.37,110.36,-6
214,Dartmouth,Ivy,,14,14,77.4,71.9,5.46,,-5.17,,-2.13,-2.35,-4.48,98.38,104.9,-6.52
215,Southeast Missouri State,OVC,,21,12,74,67,6.97,,-7.65,,-2.98,-1.7,-4.68,100.77,107.36,-6.59
216,Hofstra,CAA,,15,18,66.7,64.9,1.85,,-3.63,,-9.88,5.15,-4.73,96.46,103.43,-6.97
217,Queens (NC),A-Sun,,19,14,76.6,74.1,2.48,,-4.55,,0.03,-4.8,-4.77,104.39,110.66,-6.27
218,Northern Kentucky,Horizon,,17,16,71.8,72,-0.18,,-3.14,,-4.38,-0.41,-4.79,101.91,109.21,-7.31
219,Richmond,A-10,,10,22,66.8,71.9,-5.16,,2.04,,-5.5,0.61,-4.89,102.65,110.11,-7.46
220,Wright State,Horizon,,15,18,77.3,76.4,0.94,,-3.81,,1.17,-6.08,-4.91,107.4,113.95,-6.55
221,Brown,Ivy,,14,13,72.2,71.6,0.63,,-4,,-4.62,-0.3,-4.92,100.3,107.5,-7.2
222,Hampton,CAA,,17,16,72.5,70,2.48,,-3.73,,-5.21,0.28,-4.93,102.05,108.62,-6.57
223,Northwestern State,Southland,,16,16,67.1,68.9,-1.81,,-1.43,,-7.35,2.29,-5.06,100.71,108.15,-7.44
224,Bucknell,Patriot,,18,15,74,73.2,0.88,,-5.95,,-0.88,-4.19,-5.08,101.08,108.11,-7.03
225,Charlotte,AAC,,11,22,70.5,74.5,-4,,-0.3,,-3.15,-1.96,-5.11,105.05,112.55,-7.5
